date,action,buy_period,buy_thr,sell_period,sell_thr,rsi_low_at_d,rsi_high_at_d,rsi_close_at_d,condition_met,price,mode,reason,low_price,high_price
2012-12-17 00:00:00,BUY,2,20.0,2,50.0,12.5257687213,60.6001051845,45.7139626366,Yes,0.44325000045,NO_SOLUTION,,0.4346669912,0.4518330097
2012-12-19 00:00:00,SELL,2,20.0,2,50.0,86.7806759183,92.9651920383,88.0069492147,Yes,0.4684999883,FAST_LOW,,0.4684999883,0.482832998
2012-12-26 00:00:00,BUY,2,20.0,2,50.0,5.3135551139,67.14737909,5.779587217,Yes,0.45024999975,NO_SOLUTION,,0.4388329983,0.4616670012
2013-01-02 00:00:00,SELL,2,20.0,2,50.0,91.0156874343,94.8047601236,94.7807266371,Yes,0.474999994,FAST_LOW,,0.474999994,0.5055000186
2013-03-18 00:00:00,BUY,2,20.0,2,50.0,7.1096003546,13.463296375,8.4468497104,Yes,0.6305000186,FAST_HIGH,,0.6046670079,0.6305000186
2013-03-21 00:00:00,SELL,2,20.0,2,50.0,24.1772339714,58.2293572769,25.1580387117,Yes,0.6131669878999999,NO_SOLUTION,,0.5981670022,0.6281669736
2013-04-03 00:00:00,BUY,2,20.0,2,50.0,3.7456578808,58.997041728,4.1575901275,Yes,0.58391699195,NO_SOLUTION,,0.5511670113,0.6166669726
2013-04-09 00:00:00,SELL,2,20.0,2,50.0,45.5057898703,88.5242351153,84.4165312794,Yes,0.6004165113,NO_SOLUTION,,0.5808330178,0.6200000048
2013-04-19 00:00:00,BUY,2,20.0,2,50.0,11.2636937331,45.3343569006,40.5635842751,Yes,0.5469999909500001,NO_SOLUTION,,0.5326669812,0.5613330007
2013-04-23 00:00:00,SELL,2,20.0,2,50.0,76.9500423865,88.9971093414,88.4452219478,Yes,0.5833330154,FAST_LOW,,0.5833330154,0.614332974
2013-05-23 00:00:00,BUY,2,20.0,2,50.0,3.5229501707,21.6826568854,10.0296833829,Yes,0.73725000025,NO_SOLUTION,,0.7141669989,0.7603330016
2013-05-29 00:00:00,SELL,2,20.0,2,50.0,30.0746638199,91.2484753505,88.3931114787,Yes,0.773999989,NO_SOLUTION,,0.754832983,0.793166995
2013-06-06 00:00:00,BUY,2,20.0,2,50.0,8.5053299604,49.5670482257,14.1789346412,Yes,0.76758351925,NO_SOLUTION,,0.7465000153,0.7886670232
2013-06-10 00:00:00,SELL,2,20.0,2,50.0,60.0389486777,84.7897254272,82.9546243252,Yes,0.7973330021,FAST_LOW,,0.7973330021,0.82099998
2013-06-13 00:00:00,BUY,2,20.0,2,50.0,10.143447774,64.9676813919,63.515499114,Yes,0.75616651775,NO_SOLUTION,,0.7285000086,0.7838330269
2013-06-14 00:00:00,SELL,2,20.0,2,50.0,47.3848497701,75.7074467294,51.9520106822,Yes,0.7837499976,NO_SOLUTION,,0.7676669955,0.7998329997
2013-06-21 00:00:00,BUY,2,20.0,2,50.0,10.3179601307,39.8316586966,22.6808092544,Yes,0.7413330078,NO_SOLUTION,,0.719332993,0.7633330226
2013-06-26 00:00:00,SELL,2,20.0,2,50.0,56.8313435054,74.9585886815,68.3021286251,Yes,0.7483329773,FAST_LOW,,0.7483329773,0.7761669755
2013-07-22 00:00:00,BUY,2,20.0,2,50.0,5.7250918282,48.2247586172,9.6706830396,Yes,0.86733350155,NO_SOLUTION,,0.8554999828,0.8791670203
2013-07-31 00:00:00,SELL,2,20.0,2,50.0,67.5287477272,84.1268595778,76.7186717578,Yes,0.8176670074,FAST_LOW,,0.8176670074,0.8428329825
2013-08-08 00:00:00,BUY,2,20.0,2,50.0,5.4998682174,45.1619542567,18.4774615545,Yes,0.8090835213500001,NO_SOLUTION,,0.796167016,0.8220000267
2013-08-21 00:00:00,SELL,2,20.0,2,50.0,20.9801838716,57.0942675052,25.9601438498,Yes,0.73849999905,NO_SOLUTION,,0.7250000238,0.7519999743
